aluguel,condominio,iptu,fotos,endereco,description,description_len,features,url
R$ 2.200/mês,R$ 943,,39 fotos,"Vila Cidade Universitária, Bauru - SP",,0,"['98m²', '3 quartos', '3 banheiros\n1 suíte', '2 vagas', 'Interfone', 'Varanda', 'Piscina', 'Churrasqueira', 'Cozinha']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-cidade-universitaria-bairros-bauru-com-garagem-98m2-venda-RS490000-id-2489669815/
R$ 3.900/mês,R$ 958,,12 fotos,"Jardim América, Bauru - SP",,0,"['200m²', '4 quartos', '4 banheiros\n4 suítes', '3 vagas', 'Interfone', 'Piscina', 'Churrasqueira', 'Elevador', 'Varanda gourmet']",https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-america-bairros-bauru-com-garagem-200m2-venda-RS1200000-id-2489671006/
R$ 600/mês,Não informado,,10 fotos,"Jardim Colonial, Bauru - SP",,0,"['30m²', '1 quarto', '1 banheiro\n1 suíte', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-colonial-bairros-bauru-com-garagem-30m2-aluguel-RS600-id-2523287901/
R$ 800/mês,R$ 600,,7 fotos,"Jardim Brasil, Bauru - SP",,0,"['75m²', '2 quartos', '1 banheiro', 'Não informado SOLICITAR']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-brasil-bairros-bauru-75m2-aluguel-RS800-id-2525452721/
R$ 1.000/mês,R$ 768,,2 fotos,"Jardim Estoril IV, Bauru - SP",,0,"['60m²', '3 quartos', '2 banheiros', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-estoril-iv-bairros-bauru-com-garagem-60m2-aluguel-RS1000-id-2525363993/
R$ 550/mês,R$ 400,,10 fotos,"Parque Paulistano, Bauru - SP",,0,"['57m²', '2 quartos', '1 banheiro', 'Não informado SOLICITAR', 'Churrasqueira', 'Cozinha', 'Interfone', 'Piscina', 'Área de serviço']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-paulistano-bairros-bauru-57m2-venda-RS158000-id-2441131924/
R$ 2.500/mês,R$ 510,,15 fotos,"Rua Charles Lindemberg - Parque Jardim Europa, Bauru - SP",,0,"['72m²', '2 quartos', '1 banheiro\n1 suíte', '1 vaga', 'Ar-condicionado', 'Churrasqueira', 'Elevador', 'Interfone']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-jardim-europa-bairros-bauru-com-garagem-72m2-venda-RS490000-id-2517693284/
R$ 550/mês,Não informado,,,"Vila Souto, Bauru - SP",,0,"['30m²', '1 quarto', '1 banheiro\n1 suíte', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-souto-bairros-bauru-com-garagem-30m2-aluguel-RS550-id-2523900620/
R$ 650/mês,R$ 255,,7 fotos,"Jardim Terra Branca, Bauru - SP",,0,"['43m²', '2 quartos', '1 banheiro', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-terra-branca-bairros-bauru-com-garagem-43m2-aluguel-RS650-id-2504630792/
R$ 550/mês,R$ 230,,5 fotos,"Vila Nova Cidade Universitaria, Bauru - SP",,0,"['45m²', '1 quarto', '1 banheiro', '1 vaga', 'Cozinha', 'Interfone']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-cidade-universitaria-bairros-bauru-com-garagem-45m2-aluguel-RS550-id-2488291966/
R$ 700/mês,Não informado,,8 fotos,"Jardim Marambá, Bauru - SP",,0,"['70m²', '3 quartos', '2 banheiros', '1 vaga', 'Churrasqueira', 'Cozinha', 'Interfone', 'Área de serviço']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-maramba-bairros-bauru-com-garagem-70m2-venda-RS176000-id-86661605/
R$ 4.300/mês,R$ 950,,7 fotos,"Jardim América, Bauru - SP",,0,"['200m²', '4 quartos', '1 banheiro\n4 suítes', 'Não informado SOLICITAR']",https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-america-bairros-bauru-200m2-venda-RS1400000-id-2516031988/
R$ 700/mês,R$ 130,,6 fotos,"Vila Pacífico, Bauru - SP",,0,"['77m²', '2 quartos', '1 banheiro', 'Não informado SOLICITAR', 'Cozinha', 'Área de serviço']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-pacifico-bairros-bauru-77m2-aluguel-RS700-id-2486799457/
R$ 1.250/mês,Não informado,,13 fotos,"Parque das Nações, Bauru - SP","Apartamento no Barcelona todo reformado, contendo 02 dormitórios, sala 02 ambientes, cozinha com armário, cooktop e forno a gás, banheiro social, área de serviço e 01 vaga de garagem.
Àrea de lazer completa
OBS: No valor do aluguel já está incluso o condominio e o IPTU. -",45,"['45m²', '2 quartos', '1 banheiro', '1 vaga', 'Churrasqueira', 'Condomínio fechado', 'Piscina']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-das-nacoes-bairros-bauru-com-garagem-45m2-aluguel-RS1250-id-2526617610/
R$ 1.990/mês,Não informado,,22 fotos,"Parque Vista Alegre, Bauru - SP",,0,"['300m²', '6 quartos', '4 banheiros\n1 suíte', '4 vagas']",https://www.vivareal.com.br/imovel/casa-6-quartos-parque-vista-alegre-bairros-bauru-com-garagem-300m2-aluguel-RS1990-id-2526351473/
