n_caracteristicas,metros,quartos,banheiros,vagas,descricao,endereco,y
4,107,3,2,1,0,JARDIM CRUZEIRO DO SUL,700.0
9,11,2,2,1,33,JARDIM JOSE KALIL,1150.0
4,180,3,1,2,0,JARDIM OURO VERDE,1400.0
7,260,3,5,3,47,JARDIM ESTORIL IV,3000.0
4,56,2,1,1,0,VILA MARACY,850.0
9,45,1,1,1,57,JARDIM PLANALTO,900.0
9,80,2,1,1,0,JARDIM PLANALTO,1650.0
4,54,1,1,1,0,JARDIM AURI VERDE,1500.0
9,96,3,2,2,67,VILA AVIACAO,3000.0
4,80,3,2,2,0,JARDIM PANORAMA,1900.0
4,50,1,1,1,0,JARDIM ARARUNA,1000.0
9,50,2,1,1,45,VILA PACIFICO,600.0
4,181,3,2,2,0,NUCLEO HABITACIONAL JOSE REGINO,1400.0
9,60,2,1,1,32,JARDIM COLONIAL,600.0
9,55,2,2,1,1,JARDIM PANORAMA,1100.0
4,64,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,1000.0
4,53,2,1,1,0,JARDIM BRASIL,850.0
4,57,2,2,1,0,JARDIM BRASIL,1200.0
9,102,3,4,3,45,ALTOS DA CIDADE,3100.0
5,41,1,1,1,1,JARDIM PAULISTA,820.0
4,450,4,6,4,0,VILA SAMARITANA,7000.0
9,60,2,2,1,48,JARDIM PANORAMA,850.0
4,60,2,2,1,0,JARDIM INFANTE DOM HENRIQUE,1800.0
4,89,3,2,2,0,VILA SANTO ANTONIO,900.0
4,38,1,1,1,0,JARDIM INFANTE DOM HENRIQUE,800.0
4,56,2,1,1,0,JARDIM TERRA BRANCA,500.0
9,55,2,1,1,14,JARDIM INFANTE DOM HENRIQUE,900.0
9,63,2,2,1,18,JARDIM INFANTE DOM HENRIQUE,1000.0
4,140,3,1,2,0,JARDIM PANORAMA,1400.0
9,62,2,1,1,29,JARDIM AMERICA,680.0
4,93,3,2,1,0,CENTRO,1600.0
9,152,3,5,2,49,JARDIM ESTORIL IV,2500.0
7,70,3,1,2,23,JARDIM FERRAZ,1500.0
9,107,3,2,2,30,VILA AVIACAO,4000.0
4,45,2,1,1,0,RESERVA BELAS NACOES,1000.0
4,46,2,1,1,0,JARDIM TERRA BRANCA,800.0
9,102,3,4,3,37,VILA MESQUITA,3200.0
9,63,2,2,1,28,JARDIM INFANTE DOM HENRIQUE,1100.0
4,270,3,4,2,0,JARDIM PANORAMA,2000.0
4,75,3,3,2,0,VILA NOVA CIDADE UNIVERSITARIA,1000.0
9,35,1,1,1,41,VILA CIDADE UNIVERSITARIA,650.0
4,42,1,2,1,0,JARDIM INFANTE DOM HENRIQUE,1300.0
4,50,2,1,1,0,VILA MARACY,950.0
6,79,1,1,-1,31,CENTRO,350.0
4,80,2,2,2,0,JARDIM NOVA EERANCA,1000.0
