n_caracteristicas,metros,quartos,banheiros,vagas,descricao,endereco,y
4,47,2,1,1,0,JARDIM ESTRELA D'ALVA,600.0
4,40,1,1,1,0,VILA BRUNHARI,650.0
8,138,3,2,1,35,PARQUE PAULISTANO,1600.0
7,132,2,1,2,23,PARQUE SAO JOAO,800.0
4,40,1,1,1,0,VILA SANTA TEREZA,1000.0
9,200,4,6,3,48,JARDIM AMERICA,4300.0
9,300,5,7,2,38,RESIDENCIAL TIVOLI II,5500.0
7,45,1,1,1,17,JARDIM PANORAMA,930.0
4,50,1,1,1,0,VILA CIDADE UNIVERSITARIA,700.0
6,240,4,3,2,74,JARDIM AMERICA,2000.0
4,97,3,2,1,0,JARDIM AMERICA,1300.0
4,75,3,1,1,0,JARDIM CRUZEIRO DO SUL,800.0
9,80,3,2,1,44,JARDIM INFANTE DOM HENRIQUE,1350.0
7,65,2,1,1,24,VILA INDUSTRIAL,900.0
9,38,1,1,1,28,JARDIM DONA SARAH,850.0
9,200,4,5,3,65,JARDIM AMERICA,4500.0
4,125,3,3,2,0,JARDIM PANORAMA,1400.0
4,43,2,1,1,0,JARDIM TERRA BRANCA,600.0
5,60,3,1,1,23,PARQUE RESIDENCIAL DAS CAMELIAS,750.0
4,67,3,2,2,0,VILA BRUNHARI,2000.0
4,62,2,1,1,0,JARDIM AMERICA,800.0
9,65,2,2,1,50,JARDIM AMALIA,1200.0
4,420,4,1,4,0,JARDIM ESTORIL II,6000.0
4,148,4,4,2,0,VILA AMERICA,1500.0
5,200,3,2,4,36,JARDIM PANORAMA,2300.0
9,87,3,2,2,20,JARDIM INFANTE DOM HENRIQUE,1400.0
9,50,2,1,1,35,JARDIM CONTORNO,750.0
5,50,2,1,1,26,DISTRITO INDUSTRIAL DOMINGOS BIANCARDI,500.0
5,160,3,2,8,36,RESIDENCIAL JARDINS DO SUL,2200.0
8,35,1,1,1,24,VILA NOVA CIDADE UNIVERSITARIA,650.0
9,55,2,1,1,53,JARDIM PANORAMA,1300.0
4,18,-1,1,-1,0,VILA SANTO ANTONIO,600.0
4,107,3,4,2,0,VILA AVIACAO,3000.0
4,78,2,2,1,0,JARDIM INFANTE DOM HENRIQUE,1100.0
9,42,1,1,1,21,VILA CIDADE UNIVERSITARIA,1000.0
4,40,1,1,1,0,JARDIM PANORAMA,600.0
9,65,2,2,1,31,VILA NOVA CIDADE UNIVERSITARIA,1850.0
9,75,2,1,1,41,JARDIM INFANTE DOM HENRIQUE,1550.0
4,100,3,3,1,0,JARDIM INFANTE DOM HENRIQUE,1450.0
7,120,3,2,4,25,VILA ALTO PARAISO,1500.0
4,55,2,1,1,0,JARDIM DAS ORQUIDEAS,700.0
5,20,1,1,-1,21,CENTRO,420.0
9,265,3,5,2,31,RESIDENCIAL VILLA DUMONT,7500.0
4,60,2,2,1,0,VILA SANTA TEREZA,800.0
4,65,2,2,1,0,VILA CIDADE UNIVERSITARIA,800.0
4,110,3,4,2,0,JARDIM ESTORIL IV,2600.0
4,200,3,5,3,0,ALAMEDA DOUTOR OCTAVIO PINHEIRO BRISOLLA  VILA SANTA TEREZA,2000.0
4,50,1,1,1,0,JARDIM BRASIL,650.0
4,195,3,4,4,0,VILA AVIACAO,4500.0
9,350,4,7,4,27,RESIDENCIAL TIVOLI,6800.0
9,180,8,4,3,23,VILA CARDIA,6000.0
5,300,3,3,4,30,PARQUE PAULISTANO,1600.0
4,380,4,6,4,0,JARDIM PAULISTA,10000.0
9,207,4,5,4,34,RESIDENCIAL VILLAGGIO,5200.0
9,60,2,1,1,51,JARDIM BRASIL,1400.0
4,40,1,1,-1,0,CENTRO,500.0
6,57,1,1,1,10,VILA SANTO ANTONIO,600.0
9,182,3,5,3,51,VILA AVIACAO,6500.0
4,70,3,2,1,0,JARDIM PLANALTO,1100.0
9,69,2,3,2,66,VILA NOVA CIDADE UNIVERSITARIA,1950.0
4,60,2,2,1,0,JARDIM INFANTE DOM HENRIQUE,1600.0
4,86,3,1,2,0,VILA SANTA TEREZA,2300.0
9,60,2,1,1,18,JARDIM SAMBURA,700.0
4,75,2,2,1,0,VILA CIDADE UNIVERSITARIA,900.0
4,56,2,1,1,0,VILA MARACY,1500.0
4,47,2,1,1,0,VILA SANTA TEREZA,1300.0
4,100,3,1,-1,0,CENTRO,1300.0
4,59,1,1,1,0,JARDIM INFANTE DOM HENRIQUE,1400.0
8,52,2,1,1,28,PARQUE,800.0
6,55,2,1,1,37,VILA ALTINOPOLIS,1100.0
8,65,3,2,1,26,JARDIM INFANTE DOM HENRIQUE,1200.0
9,136,3,3,2,0,JARDIM PANORAMA,1500.0
4,42,1,1,1,0,VILA MARACY,1200.0
8,82,3,2,2,48,VILA AVIACAO,3000.0
4,220,3,5,2,0,CENTRO,1700.0
8,70,2,2,1,31,JARDIM INFANTE DOM HENRIQUE,1050.0
9,40,1,1,1,41,JARDIM PANORAMA,1500.0
9,85,3,2,2,47,JARDIM AMERICA,1850.0
4,540,6,6,4,0,PARQUE JARDIM EUROPA,5500.0
5,54,3,1,1,16,JARDIM VITORIA,450.0
4,52,2,1,1,0,CENTRO,1250.0
4,75,2,2,1,0,VILA SANTA TEREZA,850.0
9,55,2,1,1,44,JARDIM INFANTE DOM HENRIQUE,1000.0
6,20,1,1,-1,121,JARDIM BRASIL,550.0
9,65,2,2,1,42,VILA NOVA CIDADE UNIVERSITARIA,1850.0
7,72,2,2,1,37,ALAMEDA DOUTOR OCTAVIO PINHEIRO BRISOLLA   VILA SANTA TEREZA,750.0
7,182,3,1,3,39,VILA CIDADE UNIVERSITARIA,4200.0
4,78,2,2,1,0,JARDIM INFANTE DOM HENRIQUE,1100.0
7,72,3,1,2,21,JARDIM VANIA MARIA,800.0
9,150,3,4,2,36,VILA SANTA IZABEL,1500.0
7,100,3,2,4,85,VILA SANTA INES,2200.0
8,70,3,2,1,21,PARQUE RESIDENCIAL DAS CAMELIAS,800.0
9,75,2,2,2,35,VILA SANTA TEREZA,800.0
9,260,3,4,3,30,JARDIM ESTORIL IV,2000.0
4,382,5,6,4,0,VILA AVIACAO,10000.0
4,150,5,4,2,0,JARDIM AURI VERDE,1600.0
9,39,1,1,1,30,JARDIM PAULISTA,750.0
4,135,3,3,1,0,JARDIM ESTORIL IV,1800.0
4,56,2,1,1,0,RESIDENCIAL PARQUE GRANJA CECILIA B,1300.0
4,56,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,2000.0
5,45,2,1,1,18,VILA CAROLINA,800.0
4,80,2,2,1,0,JARDIM SOLANGE,1850.0
8,48,2,1,2,64,JARDIM COLONIAL,950.0
4,93,3,2,2,0,VILA AVIACAO,2200.0
9,55,2,1,1,36,JARDIM INFANTE DOM HENRIQUE,1000.0
4,45,1,2,1,0,VILA SANTA TEREZA,1300.0
4,40,1,1,1,0,JARDIM INFANTE DOM HENRIQUE,800.0
4,55,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,850.0
9,65,2,1,1,23,JARDIM PANORAMA,1050.0
4,90,3,2,1,0,JARDIM NASRALLA,1350.0
7,72,2,2,1,33,ALAMEDA DOUTOR OCTAVIO PINHEIRO BRISOLLA  VILA SANTA TEREZA,700.0
7,92,3,3,2,56,ALTO HIGIENOPOLIS,1150.0
4,350,3,3,3,0,RESIDENCIAL VILLAGGIO,5000.0
9,76,3,2,1,24,JARDIM INFANTE DOM HENRIQUE,1750.0
4,132,2,2,1,0,VILA SANTA TEREZA,2500.0
4,37,1,1,1,0,JARDIM PLANALTO,900.0
4,400,3,1,3,0,VILA INDEPENDENCIA,900.0
4,94,3,3,2,0,VILA CIDADE UNIVERSITARIA,1500.0
4,35,1,1,1,0,JARDIM INFANTE DOM HENRIQUE,900.0
4,55,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,1000.0
6,275,3,4,3,8,VILA MARIANA,5000.0
4,120,3,2,2,0,JARDIM INFANTE DOM HENRIQUE,3200.0
9,75,3,2,1,24,JARDIM INFANTE DOM HENRIQUE,1350.0
6,80,2,1,1,42,VILA GIUNTA,700.0
9,300,4,5,3,15,VILA CIDADE UNIVERSITARIA,2600.0
9,88,3,3,2,52,JARDIM INFANTE DOM HENRIQUE,1400.0
4,105,3,2,2,0,VILA NOVA CIDADE UNIVERSITARIA,1550.0
8,47,2,1,1,43,JARDIM ESTRELA D'ALVA,750.0
4,40,1,1,1,0,JARDIM PANORAMA,1400.0
7,300,3,3,4,28,VILA CIDADE UNIVERSITARIA,4700.0
4,53,2,1,1,0,VILA MARACY,1600.0
6,75,3,2,1,26,JARDIM INFANTE DOM HENRIQUE,1100.0
7,50,1,1,1,99,JARDIM AMERICA,600.0
4,65,2,2,2,0,VILA AVIACAO,1600.0
4,225,3,5,3,0,CENTRO,2600.0
9,412,4,5,2,1,VILA AEROPORTO,4500.0
4,70,2,1,1,0,VILA ALTINOPOLIS,1200.0
4,70,3,1,1,0,PARQUE VIADUTO,900.0
9,170,3,4,2,28,JARDIM PANORAMA,2000.0
9,65,2,2,1,44,VILA SANTA TEREZA,1450.0
6,85,2,1,2,41,JARDIM CAROLINA,1000.0
6,380,5,3,-1,58,ALTOS DA CIDADE,2500.0
9,330,3,3,3,42,CENTRO,3500.0
4,180,3,2,1,0,VILA SANTA TEREZA,2500.0
4,12,4,2,2,0,VILA GUEDES DE AZEVEDO,7000.0
4,150,2,1,1,0,CENTRO,700.0
8,35,1,1,1,14,VILA SANTA TEREZA,650.0
9,85,3,2,2,31,VILA SANTA TEREZA,1900.0
9,125,3,3,2,24,JARDIM PANORAMA,1600.0
4,50,2,1,1,0,NUCLEO RESIDENCIAL PRESIDENTE GEISEL,750.0
4,60,2,1,1,0,PRACA DOUTOR LUIZ ZUIANI  VILA CARDIA,1750.0
4,85,3,2,2,0,VILA SANTO ANTONIO,850.0
9,85,3,3,2,76,JARDIM INFANTE DOM HENRIQUE,1300.0
4,55,2,1,1,0,JARDIM TERRA BRANCA,850.0
9,60,2,2,2,31,JARDIM ESTORIL,2000.0
4,85,3,2,2,0,JARDIM AMERICA,2500.0
4,300,3,2,2,0,JARDIM COLONIAL,4900.0
7,40,1,1,1,21,VILA CIDADE UNIVERSITARIA,1000.0
4,38,1,1,1,0,JARDIM PLANALTO,1200.0
9,55,2,1,1,46,JARDIM SAMBURA,750.0
4,93,3,3,2,0,VILA AVIACAO,3300.0
7,75,1,1,1,22,JARDIM PANORAMA,500.0
5,110,3,2,-1,3,JARDIM PAULISTA,1200.0
4,65,3,1,1,0,VILA AEROPORTO,1000.0
4,240,3,3,6,0,VILA ALTINOPOLIS,2500.0
6,36,1,1,1,43,VILA CIDADE UNIVERSITARIA,1150.0
4,96,2,3,2,0,VILA AVIACAO,3000.0
4,76,3,2,1,0,JARDIM INFANTE DOM HENRIQUE,1600.0
8,40,1,1,1,37,VILA ALTINOPOLIS,1700.0
8,729,2,5,3,115,JARDIM SHANGRI LA,8900.0
4,35,1,1,-1,0,VILA SERRAO,600.0
4,40,1,1,1,0,VILA SANTA TEREZA,1400.0
4,100,5,1,2,0,PARQUE SAO JOAO,2010.0
9,227,4,2,3,59,PARQUE VISTA ALEGRE TAUBATE,1950.0
4,63,2,1,1,0,RESIDENCIAL FRANCISCO LEMOS DE ALMEIDA,700.0
4,120,3,5,2,0,VILA AVIACAO,4000.0
4,53,1,1,1,0,VILA ALTINOPOLIS,1300.0
4,345,3,3,4,0,JARDIM ESTORIL,8000.0
4,125,3,4,2,0,VILA AVIACAO,3500.0
4,47,2,1,1,0,RESIDENCIAL PARQUE COLINA VERDE,650.0
4,55,2,1,2,0,NUCLEO RESIDENCIAL BEIJAFLOR,1200.0
4,55,3,1,1,0,JARDIM AURI VERDE,1100.0
4,260,3,5,3,0,JARDIM ESTORIL IV,3000.0
7,64,2,1,1,53,JARDIM BRASIL,850.0
7,56,2,1,1,54,JARDIM CRUZEIRO DO SUL,1300.0
9,160,3,5,2,72,VILA CIDADE UNIVERSITARIA,3300.0
9,220,3,5,4,46,RESIDENCIAL VILLAGGIO,5000.0
4,53,2,1,1,0,VILA MARACY,1500.0
4,331,8,8,1,0,CENTRO,7500.0
4,76,3,2,1,0,JARDIM INFANTE DOM HENRIQUE,1300.0
9,78,3,2,2,82,JARDIM INFANTE DOM HENRIQUE,1500.0
4,55,2,1,1,0,VILA SANTA TEREZA,690.0
9,69,3,2,1,102,RESIDENCIAL PARQUE GRANJA CECILIA B,1950.0
9,80,2,2,1,49,VILA SANTA TEREZA,800.0
7,189,3,5,2,31,JARDIM ESTORIL,2000.0
9,71,2,1,1,14,JARDIM INFANTE DOM HENRIQUE,900.0
4,88,3,2,2,0,JARDIM PANORAMA,1900.0
4,200,4,5,3,0,JARDIM AMERICA,4500.0
4,200,4,5,3,0,JARDIM AMERICA,4200.0
4,5000,2,1,1,0,VILA MARACY,1000.0
4,50,2,1,1,0,VILA SOUTO,900.0
8,200,4,4,2,36,VILA MARIANA,3800.0
4,94,3,2,2,0,JARDIM PAULISTA,950.0
4,363,2,1,6,0,JARDIM GAIVOTA,1200.0
4,180,3,1,-1,0,CENTRO,1600.0
4,44,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,700.0
4,96,3,2,2,0,VILA AVIACAO,3000.0
4,75,3,1,1,0,JARDIM INFANTE DOM HENRIQUE,1100.0
4,220,3,1,2,0,VILA CARDIA,2500.0
4,41,1,1,1,0,VILA REGINA,1200.0
9,178,4,4,4,20,JARDIM INFANTE DOM HENRIQUE,2500.0
9,350,3,5,4,56,RESIDENCIAL VILLAGGIO III,7000.0
7,91,3,3,1,50,JARDIM AMERICA,800.0
7,38,1,1,1,15,VILA SANTA TEREZA,1070.0
4,85,3,2,2,0,VILA AVIACAO,2600.0
4,36,1,1,1,0,JARDIM INFANTE DOM HENRIQUE,600.0
8,65,2,2,1,44,ALTOS DA CIDADE,1500.0
4,38,1,1,1,0,JARDIM INFANTE DOM HENRIQUE,800.0
9,565,4,5,4,44,RESIDENCIAL VILLAGGIO,8000.0
8,65,2,1,1,4,VILA CIDADE UNIVERSITARIA,1500.0
8,30,1,1,1,43,VILA ENGLER,750.0
7,32,1,1,1,16,VILA CARDIA,600.0
9,197,4,5,4,51,VILA LEME DA SILVA,4300.0
4,203,3,4,4,0,VILA MESQUITA,5300.0
4,74,1,1,1,0,CENTRO,580.0
4,52,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,1550.0
4,52,2,1,1,0,VILA MARACY,1000.0
4,160,2,1,1,0,VILA SAO PAULO,700.0
5,50,1,1,-1,24,VILA SAO FRANCISCO,500.0
9,96,3,2,2,24,VILA AVIACAO,3000.0
4,90,3,2,1,0,VILA NOVA SANTA CLARA,1200.0
9,66,2,2,1,30,JARDIM INFANTE DOM HENRIQUE,1100.0
5,242,2,1,1,24,VILA NIPONICA,500.0
4,63,2,1,2,0,VILA ALTINOPOLIS,1400.0
8,32,1,2,1,13,VILA ALTINOPOLIS,650.0
9,71,2,2,2,14,VILA AVIACAO,2500.0
5,38,1,1,-1,13,VILA CIDADE UNIVERSITARIA,900.0
9,48,2,1,1,19,JARDIM OLIMPICO,400.0
8,30,1,1,1,21,VILA MARACY,1200.0
6,60,2,1,1,0,VILA NOVA CIDADE UNIVERSITARIA,750.0
6,67,2,1,1,22,JARDIM CRUZEIRO DO SUL,650.0
4,78,3,3,1,0,JARDIM INFANTE DOM HENRIQUE,1500.0
4,85,3,3,2,0,VILA AVIACAO,2900.0
4,75,3,1,1,0,JARDIM INFANTE DOM HENRIQUE,1100.0
9,50,2,1,1,23,NUCLEO HABITACIONAL MARY DOTA,980.0
9,62,2,1,1,19,JARDIM AURI VERDE,1100.0
4,156,3,3,2,0,VILA BRUNHARI,1300.0
4,47,1,1,1,0,VILA ALTINOPOLIS,1450.0
8,260,3,4,3,73,JARDIM ESTORIL IV,3000.0
5,124,1,1,-1,28,CENTRO,450.0
4,60,2,1,1,0,JARDIM AURI VERDE,1200.0
9,240,4,5,3,78,JARDIM AMERICA,4500.0
9,135,3,1,2,14,JARDIM ESTORIL IV,2900.0
8,55,2,1,1,36,JARDIM BOM SAMARITANO,500.0
9,138,3,4,2,4,JARDIM PANORAMA,3000.0
9,80,3,3,2,39,VILA AVIACAO,2950.0
6,35,1,1,-1,78,VILA NOVA CIDADE UNIVERSITARIA,800.0
9,38,1,1,1,39,VILA SANTA TEREZA,1800.0
9,69,2,2,2,66,RESIDENCIAL PARQUE GRANJA CECILIA B,1650.0
6,83,2,1,-1,26,VILA LEMOS,1050.0
9,110,3,4,2,87,JARDIM ESTORIL,4000.0
9,200,4,5,3,31,JARDIM AMERICA,4000.0
9,45,1,1,1,31,JARDIM TERRA BRANCA,700.0
9,110,3,4,2,87,JARDIM ESTORIL,4000.0
9,99,3,3,2,68,JARDIM NASRALLA,1200.0
9,45,1,1,1,47,VILA CARDIA,650.0
9,85,3,2,2,18,VILA AVIACAO,2600.0
4,64,2,2,1,0,VILA CARDIA,1500.0
9,45,2,1,1,32,RESERVA BELAS NACOES,900.0
4,60,2,1,-1,0,CENTRO,1000.0
7,35,1,1,1,16,VILA CIDADE UNIVERSITARIA,750.0
8,38,1,1,1,21,JARDIM PANORAMA,1500.0
9,65,2,2,1,24,VILA CARDIA,1200.0
9,200,3,3,4,23,VILA FLORES,2500.0
4,230,3,4,2,0,VILA AVIACAO,5000.0
4,90,2,1,1,0,VILA LEMOS,1420.0
6,50,2,1,1,1,VILA CARDIA,950.0
6,80,3,2,1,63,VILA SANTO ANTONIO,1000.0
9,45,1,1,1,61,VILA NOVA CIDADE UNIVERSITARIA,1300.0
4,55,2,1,1,0,JARDIM BRASIL,800.0
4,45,1,1,1,0,VILA CIDADE UNIVERSITARIA,1100.0
9,60,2,1,1,25,VILA SANTA TEREZA,1300.0
9,68,2,1,1,38,JARDIM BOM SAMARITANO,750.0
9,53,2,1,1,28,JARDIM BRASIL,1050.0
5,53,2,1,1,29,VILA ALTINOPOLIS,1250.0
7,86,3,2,2,29,VILA SANTA TEREZA,2300.0
7,66,2,2,1,27,JARDIM INFANTE DOM HENRIQUE,1000.0
9,70,2,2,2,42,VILA NOVA CIDADE UNIVERSITARIA,2250.0
8,70,2,2,1,45,ALAMEDA DOUTOR OCTAVIO PINHEIRO BRISOLLA   VILA SANTA TEREZA,750.0
4,200,4,4,3,0,JARDIM AMERICA,4500.0
9,68,3,2,1,44,PARQUE RESIDENCIAL DAS CAMELIAS,900.0
9,75,2,2,1,20,PARQUE JARDIM EUROPA,1000.0
4,198,3,5,2,0,JARDIM ESTORIL,2000.0
4,35,1,1,1,0,VILA ALTINOPOLIS,700.0
4,55,1,1,1,0,JARDIM INFANTE DOM HENRIQUE,800.0
9,330,3,4,-1,24,RESIDENCIAL VILLAGGIO III,6900.0
9,70,2,2,2,58,VILA NOVA CIDADE UNIVERSITARIA,1950.0
5,55,1,1,1,29,JARDIM PANORAMA,700.0
5,53,2,1,-1,39,VILA CAROLINA,1250.0
4,35,1,1,1,0,VILA NOVA CIDADE UNIVERSITARIA,700.0
5,70,3,2,1,4,JARDIM MARAMBA,860.0
9,484,2,4,2,73,VILA SAO JOAO DO IPIRANGA,2000.0
8,65,2,1,1,29,JARDIM DAS ORQUIDEAS,590.0
9,85,3,3,2,46,VILA SILVA PINTO,1700.0
4,183,3,4,3,0,VILA AVIACAO,6500.0
7,200,3,3,4,21,JARDIM ESTORIL,2500.0
4,500,3,4,8,0,VILA CIDADE UNIVERSITARIA,4300.0
9,65,2,2,1,36,JARDIM AMERICA,780.0
7,47,2,1,1,29,PARQUE DAS NACOES,850.0
4,55,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,1000.0
7,70,2,2,1,0,JARDIM AURI VERDE,650.0
9,94,3,3,2,22,PARQUE JARDIM EUROPA,1800.0
4,47,2,1,1,0,JARDIM ESTRELA D'ALVA,650.0
9,193,3,4,2,64,VILA AVIACAO,4250.0
4,371,3,4,2,0,RESIDENCIAL TAMBORE,7000.0
4,68,2,3,1,0,JARDIM AMALIA,1300.0
4,316,4,5,3,0,ALTO HIGIENOPOLIS,3800.0
4,71,2,2,1,0,JARDIM SOLANGE,1850.0
9,30,1,1,1,62,ALAMEDA DOUTOR OCTAVIO PINHEIRO BRISOLLA   VILA NOVA CIDADE UNIVERSITARIA,720.0
7,31,1,1,1,19,VILA CIDADE UNIVERSITARIA,700.0
9,66,3,1,1,27,JARDIM CRUZEIRO DO SUL,800.0
4,94,3,3,2,0,PARQUE JARDIM EUROPA,1800.0
4,55,1,1,1,0,VILA SANTA IZABEL,550.0
7,50,2,1,1,17,JARDIM TERRA BRANCA,950.0
4,350,3,6,3,0,VILA ZILLO,4500.0
4,30,1,1,1,0,JARDIM PANORAMA,800.0
9,85,3,2,2,55,JARDIM AMERICA,2000.0
9,169,3,5,3,126,JARDIM PAULISTA,5000.0
6,51,1,1,1,33,VILA AVIACAO,1200.0
7,50,2,1,1,31,VILA CARDIA,750.0
9,65,2,1,1,32,JARDIM INFANTE DOM HENRIQUE,900.0
4,70,2,2,2,0,VILA LEME DA SILVA,2100.0
5,120,3,4,3,1,VILA AVIACAO,3300.0
4,135,3,4,2,0,JARDIM ESTORIL IV,3500.0
9,91,3,1,2,59,JARDIM PANORAMA,1800.0
4,140,3,4,3,0,JARDIM AMERICA,2500.0
9,182,3,4,3,36,VILA SANTA TEREZA,4200.0
4,42,2,1,1,0,JARDIM ALVORADA,950.0
4,75,2,2,1,0,VILA AVIACAO,2200.0
4,65,2,2,2,0,VILA AVIACAO,1800.0
4,45,2,1,1,0,PARQUE,1000.0
4,65,3,2,1,0,VILA NOVA CIDADE UNIVERSITARIA,1000.0
4,35,1,1,1,0,VILA CIDADE UNIVERSITARIA,550.0
4,50,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,1200.0
5,380,3,3,6,49,VILA ALTINOPOLIS,2500.0
4,55,1,1,1,0,VILA NOVA CIDADE UNIVERSITARIA,1300.0
4,86,3,2,2,0,JARDIM NASRALLA,800.0
4,554,3,3,3,0,JARDIM PANORAMA,3000.0
5,40,1,1,1,1,VILA ALTINOPOLIS,1700.0
9,134,3,4,2,30,VILA AVIACAO,3800.0
7,65,2,2,1,16,JARDIM BRASIL,1200.0
4,56,2,1,1,0,JARDIM AURI VERDE,800.0
4,90,3,2,4,0,NOVO JARDIM PAGANI,1010.0
9,54,2,1,1,53,JARDIM TERRA BRANCA,800.0
9,350,5,5,4,30,RESIDENCIAL VILLAGGIO III,5500.0
4,90,3,2,2,0,VILA SANTO ANTONIO,2610.0
6,35,1,1,1,29,VILA CARDIA,580.0
4,44,1,1,1,0,JARDIM INFANTE DOM HENRIQUE,750.0
4,47,1,1,1,0,CENTRO,580.0
9,264,4,4,2,31,JARDIM AEROPORTO,4000.0
9,199,3,2,2,34,JARDIM ESTORIL,3000.0
9,250,3,3,4,27,JARDIM CONTORNO,3500.0
4,60,2,1,1,0,JARDIM COLONIAL,1200.0
8,45,1,1,1,26,JARDIM PAULISTA,750.0
9,67,2,2,1,50,VILA NOVA CIDADE UNIVERSITARIA,1750.0
4,86,3,2,2,0,VILA SANTA TEREZA,2300.0
9,126,3,4,2,156,VILA AVIACAO,3700.0
8,38,1,1,1,29,VILA GUEDES DE AZEVEDO,750.0
4,63,3,1,1,0,RESIDENCIAL FRANCISCO LEMOS DE ALMEIDA,800.0
4,32,1,1,-1,0,VILA MARACY,1200.0
9,120,3,3,2,55,JARDIM PANORAMA,1600.0
6,47,3,1,1,13,JARDIM TERRA BRANCA,800.0
9,130,3,4,2,24,VILA RIACHUELO,3000.0
4,96,3,2,2,0,VILA AVIACAO,3000.0
4,49,2,1,1,0,JARDIM SAMBURA,600.0
7,55,2,1,1,20,PARQUE,500.0
4,400,3,1,3,0,VILA AVIACAO,6900.0
9,96,3,2,2,15,VILA AVIACAO,3000.0
4,65,2,2,1,0,VILA ALTINOPOLIS,1400.0
4,65,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,1000.0
4,68,1,2,2,0,VILA AVIACAO,2900.0
8,110,3,3,2,14,JARDIM AMERICA,1800.0
6,130,3,3,2,34,VILA CIDADE UNIVERSITARIA,1400.0
7,45,1,1,1,23,VILA SOUTO,700.0
4,150,3,3,2,0,JARDIM PANORAMA,2200.0
4,60,2,1,1,0,ALAMEDA DOUTOR OCTAVIO PINHEIRO BRISOLLA  VILA SANTA TEREZA,800.0
9,150,3,4,3,61,JARDIM PANORAMA,2700.0
9,140,3,2,2,62,JARDIM PANORAMA,1600.0
9,69,2,3,2,66,VILA NOVA CIDADE UNIVERSITARIA,1850.0
9,57,2,1,1,33,,1000.0
9,228,3,5,2,22,VILA AVIACAO,5500.0
9,38,2,1,1,42,VILA CIDADE UNIVERSITARIA,1600.0
4,48,1,1,1,0,JARDIM TERRA BRANCA,1500.0
4,38,1,1,1,0,JARDIM PLANALTO,1300.0
4,65,2,1,1,0,VILA SANTA TEREZA,1200.0
8,48,2,1,1,32,PARQUE SAO JOAO,600.0
6,60,3,1,1,34,PARQUE VIADUTO,700.0
4,38,1,1,-1,0,JARDIM PANORAMA,1800.0
6,48,2,1,1,19,JARDIM TERRA BRANCA,850.0
4,300,2,3,5,0,ALAMEDA TROIA  PARQUE SANTA EDWIGES,1800.0
4,53,2,1,1,0,VILA SANTA TEREZA,1300.0
4,65,2,2,1,0,VILA NOVA CIDADE UNIVERSITARIA,1800.0
9,150,3,4,2,57,JARDIM PANORAMA,2500.0
4,110,3,2,1,0,JARDIM AMERICA,1570.0
9,60,2,1,1,167,JARDIM CRUZEIRO DO SUL,1500.0
4,100,3,3,3,0,VILA FLORES,1910.0
4,50,2,1,2,0,JARDIM INFANTE DOM HENRIQUE,1350.0
9,412,4,4,4,47,VILA CIDADE UNIVERSITARIA,3500.0
4,135,3,2,2,0,JARDIM ESTORIL IV,1800.0
4,40,1,1,1,0,VILA SANTA TEREZA,1000.0
4,45,1,1,1,0,VILA CARDIA,650.0
4,412,3,5,4,0,JARDIM COLONIAL,5500.0
6,90,2,1,1,24,JARDIM ALVORADA,1000.0
4,59,2,2,1,0,VILA NOVA CIDADE UNIVERSITARIA,1250.0
8,125,3,4,2,24,VILA AVIACAO,4000.0
4,356,3,4,2,0,JARDIM ESTORIL IV,2800.0
6,150,3,4,2,1,VILA CIDADE UNIVERSITARIA,2500.0
8,30,1,1,1,29,VILA SANTA TEREZA,750.0
4,50,1,1,1,0,VILA ALTINOPOLIS,1700.0
9,67,2,2,1,97,VILA NOVA CIDADE UNIVERSITARIA,1750.0
4,200,3,3,1,0,VILA SANTA TEREZA,2500.0
4,45,1,1,1,0,VILA CARDIA,650.0
4,77,3,2,2,0,JARDIM CONTORNO,2100.0
9,70,2,2,1,27,VILA SANTA TEREZA,1450.0
9,40,1,1,1,23,VILA SANTA TEREZA,1000.0
4,41,2,1,1,0,PARQUE DAS NACOES,1000.0
4,182,3,3,3,0,VILA SANTA TEREZA,4000.0
8,48,2,1,1,59,PARQUE DAS NACOES,550.0
5,40,1,1,1,19,JARDIM PAULISTA,700.0
4,73,3,2,1,0,VILA NOVA CIDADE UNIVERSITARIA,1000.0
4,60,1,1,-1,0,CENTRO,550.0
7,55,2,1,1,18,PARQUE RESIDENCIAL DAS CAMELIAS,700.0
9,530,4,5,6,61,VILA INDEPENDENCIA,10000.0
7,50,2,2,1,10,JARDIM PAULISTA,1250.0
9,242,4,5,2,112,VILA NOVA SANTA CLARA,4000.0
4,900,4,4,4,0,RESIDENCIAL LAGO SUL,10000.0
9,120,3,4,2,27,JARDIM PANORAMA,1550.0
9,90,3,2,-1,18,JARDIM INFANTE DOM HENRIQUE,1450.0
9,70,2,2,2,42,VILA NOVA CIDADE UNIVERSITARIA,1850.0
4,614,4,1,5,0,VILA GUEDES DE AZEVEDO,8000.0
9,42,1,1,-1,23,VILA ENGLER,750.0
